id,nature,X,Y
0,Misc,654819.0475728,6862909.9682848
1,Misc,655220.6088991,6862718.5944224
2,Misc,655226.0162037,6862727.5274306
3,Misc,655085.8960422,6862885.8497457
4,Misc,655202.8895875,6862734.8134403
5,Misc,655136.0732552,6862827.1559489
6,Misc,654877.3000000,6862296.3000000
7,Misc,655131.8737653,6862895.0443313
8,Misc,655129.6824360,6862894.9462037
9,Misc,655217.0189033,6862758.9028860
10,Misc,655154.8647795,6862867.3228550
11,Misc,654855.8272464,6862438.9418357
12,Misc,655031.2096416,6862169.9374737
13,Misc,655294.0629549,6862137.7903942
14,Misc,655055.9819507,6862117.1985209
15,Misc,655251.3016012,6862241.8334789
16,Misc,655281.5180134,6862189.7478552
17,Misc,655193.3905117,6862067.0577267
18,Misc,655123.8805369,6862030.0385218
19,Misc,655569.9666667,6861985.4287356
20,Misc,655868.9004435,6861976.9961567
21,Misc,655853.3202058,6862004.6928503
22,Misc,655457.0815098,6861985.4470959
23,Misc,655450.4593254,6862025.6589933
24,Misc,655423.2207354,6862051.1657625
25,Misc,655905.5666667,6860194.2000000
26,Misc,655671.3500000,6862050.8500000
27,Misc,655739.0776226,6862058.6168013
28,Misc,655793.1541254,6862089.8273927
29,Misc,655902.8887226,6860192.5949102
30,Misc,655012.4000000,6861949.2000000
31,Misc,655872.5000000,6860251.7666667
32,Misc,655003.3068966,6861971.8804598
33,Misc,654870.4876912,6862165.4516331
34,Misc,655008.1523102,6862231.2077048
35,Misc,654894.9819664,6862091.2367866
36,Misc,654775.2763172,6862127.5170378
37,Misc,654973.4383402,6862155.3057204
38,Misc,654891.6592287,6862301.4865932
39,Misc,654900.6087921,6862305.5582854
40,Misc,655068.3167228,6862668.5339693
41,Misc,655081.8067308,6862641.4193910
42,Misc,654920.2412947,6862363.5595440
43,Misc,654988.5038805,6862282.9146329
44,Misc,654827.6272571,6862297.2904056
45,Misc,654886.4676301,6862299.4600674
46,Misc,655060.1243068,6862446.0543842
47,Misc,655459.1327179,6862529.1453903
48,Misc,655308.6459074,6862393.2878356
49,Misc,655083.5685810,6862305.2146612
50,Misc,655136.5206092,6862261.1713789
51,Misc,655070.8025128,6862500.1129794
52,Misc,655063.9640596,6862500.1587064
53,Misc,655312.4414181,6862360.0219191
54,Misc,655412.8329132,6862263.1693277
55,Misc,654225.2594780,6863078.1543161
56,Misc,654475.0500000,6862910.6000000
57,Misc,654492.5269834,6862801.4825925
58,Misc,654549.7236987,6862825.1802793
59,Misc,654423.7500000,6862885.1000000
60,"Industrial, agricultural or commercial",654683.3873224,6862761.3813923
61,"Industrial, agricultural or commercial",654783.4145310,6862738.1699009
62,Misc,654957.5835017,6862771.4193042
63,Misc,654446.7976672,6862644.9956085
64,Misc,654332.3363771,6862738.6320416
65,Misc,654764.7503965,6862758.5662829
66,Misc,655013.8866667,6862728.4266667
67,Misc,654434.4583704,6862304.5022222
68,Misc,655858.7512597,6861568.2722696
69,Misc,655849.4456536,6861548.0277541
70,Misc,654458.6463754,6862254.9193182
71,Misc,654296.8949478,6862553.1776083
72,Misc,654756.4666667,6862104.9333333
73,Misc,654465.3966445,6862078.0985251
74,Misc,654445.5222451,6862206.8196018
75,Misc,654489.7098385,6862248.5061674
76,Misc,654652.7094838,6862478.5087168
77,Misc,655374.0646976,6861473.5573840
78,Misc,655382.2261759,6861560.3384458
79,Misc,655905.1797619,6861645.3535714
80,Misc,655906.3301738,6861630.8943128
81,Misc,655839.6877262,6861574.4144985
82,Misc,655898.0920000,6861489.9213333
83,Misc,655663.4066450,6861523.3961328
84,Misc,655705.8270695,6861530.4333669
85,Misc,655781.9225225,6861641.3153153
86,Misc,655533.0481817,6861577.3898262
87,Misc,655526.8432780,6861554.2364616
88,Misc,655853.1000000,6861527.1000000
89,Misc,655903.7000000,6861639.0000000
90,Misc,655661.0519022,6861664.8734024
91,Misc,655660.7079841,6861237.9259200
92,Misc,655829.4407335,6861378.7638429
93,"Industrial, agricultural or commercial",655810.4515179,6861320.1192197
94,Misc,655651.7728238,6861420.7463406
95,Misc,653023.9000000,6866179.3000000
96,Misc,655723.2067284,6861446.1746822
97,Misc,655641.2500000,6861438.9000000
98,Misc,655837.8138009,6861456.6365729
99,Misc,655884.0733357,6861695.4302190
100,Misc,655867.8985821,6861735.4782582
101,Misc,655047.0696323,6861755.9041518
102,Misc,655907.4485225,6861687.3474823
103,Misc,655899.8334250,6861683.9699855
104,Misc,655300.7045517,6861650.9357088
105,Misc,655742.0830567,6861799.2152963
106,Misc,655765.2435666,6861807.2568855
107,Misc,655459.3226117,6861714.9905155
108,Misc,655677.5000000,6861766.6500000
109,Misc,655827.6685410,6861937.1166115
110,Misc,655217.2787344,6862025.1424577
111,Misc,654952.3632479,6861514.3337607
112,Misc,655091.6339274,6861376.4842726
113,Misc,655054.7528900,6861379.3263975
114,Misc,655146.7197531,6861370.4246914
115,Misc,655585.2650576,6861059.3814186
116,Misc,655432.8019358,6861033.7521234
117,Misc,655458.4240431,6861218.7345283
118,Misc,655564.2042112,6861426.9103060
119,Misc,655359.1930594,6861344.7031050
120,Misc,655592.1214716,6860892.9085842
121,Misc,655613.9593806,6860902.7725630
122,Misc,655867.8000000,6861015.8500000
123,Misc,655882.4100526,6861117.9848806
124,Misc,655059.9069343,6861752.6911073
125,Misc,655234.4437568,6861722.8522258
126,Misc,655158.3887906,6861610.6828909
127,Misc,655142.0000000,6861734.1500000
128,Misc,654131.4917370,6861910.5090873
129,Misc,654516.7618900,6861918.2111431
130,Misc,654664.2818046,6861925.1981017
131,Misc,655028.9061004,6861893.8500955
132,Misc,655163.8000000,6861856.8500000
133,Misc,655663.4344948,6861916.6677145
134,Misc,655608.4466605,6861906.9180671
135,Misc,655768.3268764,6860618.1563591
136,Misc,654378.3866446,6861693.1787850
137,Misc,652592.3869005,6864832.9286805
138,Misc,654973.8238845,6861298.2921260
139,Misc,654989.9634135,6861296.8584302
140,Misc,655004.0692445,6861284.6422503
141,Misc,655004.0189892,6861293.1981838
142,Misc,654917.4567955,6861118.4020096
143,Misc,654996.4595970,6861191.3413712
144,Misc,655031.4088721,6861231.0970331
145,Misc,655116.7870110,6861197.1820031
146,Misc,655334.1786667,6861203.9870769
147,Misc,655353.4201258,6861257.5899371
148,Misc,654893.4526717,6860999.3036619
149,Misc,654936.0591070,6861080.8833832
150,Misc,655281.3273465,6861003.2280287
151,Misc,655456.1879699,6861007.6167683
152,Misc,655398.9711057,6860991.2724062
