id,numpoints,X,Y
0,8,656147.8821288,6861582.7951451
1,1,651213.8490176,6863301.5814162
2,8,655946.2986615,6861611.5722644
3,2,650005.6876867,6862161.6737906
4,4,656201.4518471,6859979.9866415
5,3,656588.0161557,6861242.6591385
6,1,656477.5710004,6861650.1102090
7,2,650006.9032948,6861223.1446096
8,1,656657.6925420,6861940.8903631
9,1,651172.0280215,6866655.9246979
10,2,649870.0702605,6860647.8218761
11,2,648673.4334728,6860961.7058939
12,1,648210.9138122,6861036.6009084
13,1,648482.3382689,6860970.6893145
14,3,650001.0531423,6861787.5952504
15,1,651223.8190476,6866739.6462401
16,1,656032.1806911,6861776.4847788
17,2,650009.7376079,6860762.7190150
18,3,656053.5087166,6861994.6056233
19,4,655994.6778635,6861817.2126098
20,1,651314.0536349,6866741.7622479
21,1,648673.1807864,6859583.8835821
22,1,656087.1148761,6861886.0286572
23,2,656171.9835146,6861929.3544392
24,1,656137.6767308,6861955.5685632
25,1,648695.8645689,6859028.0037708
26,2,656141.1953200,6861806.3746486
27,3,655965.6183073,6861962.1466829
28,1,656026.5335515,6861677.9878385
29,3,649144.2788986,6860227.1547818
30,1,656127.5348838,6861723.2234468
31,2,649207.2875767,6860262.2467171
32,1,650931.8777015,6865815.7296243
33,3,656218.7391933,6861697.6144751
34,4,648636.6988262,6861242.3279967
35,1,648586.9182996,6860152.0154512
36,2,649929.4094767,6866095.3865283
37,1,648637.5827845,6862502.3417202
38,1,656013.5758877,6862646.4357956
39,3,648547.8576672,6861502.5555023
40,1,655935.3229273,6862585.7471675
41,1,648658.5205646,6861333.7867081
42,2,649842.0936483,6860422.5480119
43,1,656193.7205512,6862282.6496447
44,1,649707.6132354,6860385.2650291
45,5,650006.0736571,6860630.5434214
46,1,656070.5649139,6862670.4911222
47,6,650016.5832850,6859676.3810037
48,3,650036.1712438,6859841.5739058
49,4,649719.5034561,6860521.4001112
50,1,648404.5248119,6860682.7486446
51,1,649964.8534419,6866167.5440707
52,4,655917.5064001,6862719.1997446
53,1,649968.1466928,6866071.1100260
54,4,648682.5659417,6860663.7558634
55,3,648750.2205553,6860294.7502101
56,5,648853.6897536,6860305.7315223
57,1,648905.9288644,6860164.5677475
58,1,656452.0211212,6861506.0406129
59,1,649410.2179676,6860405.9085072
60,3,649049.6421396,6860249.3111356
61,3,656228.1604079,6859721.2581474
62,3,649592.6773721,6860141.4282845
63,3,656919.3040587,6861035.9310649
64,4,650005.3886780,6866146.4059284
65,1,656273.0319456,6862292.2254684
66,3,656303.0277356,6861779.0955639
67,7,650001.4642903,6860221.7655494
68,1,656353.7006463,6861474.9635866
69,3,650098.0839107,6859874.9531757
70,2,656283.4587618,6860276.8544904
71,24,649087.6169726,6860427.9128563
72,15,648972.8588726,6860525.6852223
73,1,649555.3516051,6859579.0136483
74,1,654720.6755241,6865381.5602428
75,2,655483.5525016,6865458.1099826
76,3,650236.4852956,6858731.4101854
77,1,655610.3769814,6865475.4285362
78,1,649913.8900438,6858946.1994871
79,2,655373.9735858,6864837.9158220
80,4,650249.6927263,6858527.3613091
81,1,655408.0795663,6864788.2176725
82,6,650197.3661192,6858482.8675861
83,1,655479.4643389,6864803.1766035
84,1,650265.8080618,6858601.7929514
85,3,655445.2066905,6864884.9570041
86,1,650209.3964947,6859100.9271646
87,1,655566.1464462,6864886.5971149
88,2,650247.3408524,6859160.1203845
89,2,655573.6585171,6864773.3123786
90,6,650355.0389963,6858647.6819080
91,5,654725.2359269,6865077.5131261
92,1,654931.6124576,6865096.3684294
93,2,652537.5399172,6858223.9709223
94,2,652538.4154484,6858338.9884862
95,2,650094.6140105,6859042.3598959
96,2,651980.2613995,6858724.2054134
97,1,652491.1581315,6858707.7819827
98,1,648928.5805150,6860587.0939969
99,2,648773.9384318,6858985.6861139
100,1,648861.9958069,6858996.8765239
101,2,656717.2614154,6864440.3575854
102,2,649155.2876228,6860690.5052935
103,1,649223.6476741,6860081.1463589
104,1,655436.4669192,6865288.6333824
105,1,649428.0473640,6860044.9905469
106,1,655520.5994273,6864913.4531128
107,1,650706.3564353,6862119.3308109
108,1,655435.3607517,6865100.7255058
109,7,648762.5072941,6860429.0178162
110,1,650419.8083286,6858475.5009819
111,4,654594.9939770,6865290.7577558
112,1,650297.2965752,6858804.4902731
113,2,654483.3390603,6865377.0255556
114,2,650290.5644151,6859219.8052361
115,2,654472.6333325,6865241.6173384
116,2,654357.3366272,6865208.2941194
117,5,648706.5989730,6860520.4576112
118,1,654260.2857813,6863240.1106824
119,2,648661.6190491,6860381.6920307
