DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,ORIGINE,NUMPOINTS,X,Y
0,75101,PARIS 1ER ARRONDISSEMENT,0101,751010101,SAINT-GERMAIN L'AUXERROIS 1,H,,11,651977.9605147,6862245.7609321
1,75101,PARIS 1ER ARRONDISSEMENT,0102,751010102,SAINT-GERMAIN L'AUXERROIS 2,A,,0,651868.7623829,6861957.2422678
2,75101,PARIS 1ER ARRONDISSEMENT,0103,751010103,SAINT-GERMAIN L'AUXERROIS 3,A,,7,651708.3000767,6862370.7624118
3,75101,PARIS 1ER ARRONDISSEMENT,0104,751010104,SAINT-GERMAIN L'AUXERROIS 4,A,,1,651239.2694971,6862548.4224049
4,75101,PARIS 1ER ARRONDISSEMENT,0105,751010105,TUILERIES,D,,0,650613.8782867,6862837.3701962
5,75101,PARIS 1ER ARRONDISSEMENT,0199,751010199,SEINE ET BERGES,D,,1,651309.0170098,6862307.7166426
6,75101,PARIS 1ER ARRONDISSEMENT,0201,751010201,LES HALLES 1,H,,24,652218.0250563,6862546.0555879
7,75101,PARIS 1ER ARRONDISSEMENT,0202,751010202,LES HALLES 2,H,,14,651834.2821072,6862480.4956040
8,75101,PARIS 1ER ARRONDISSEMENT,0203,751010203,LES HALLES 3,H,,23,651754.9469772,6862681.3325546
9,75101,PARIS 1ER ARRONDISSEMENT,0204,751010204,LES HALLES 4,H,,5,652039.4391680,6862813.5068213
10,75101,PARIS 1ER ARRONDISSEMENT,0205,751010205,LES HALLES 5,A,,1,651972.8907354,6862665.6214721
11,75101,PARIS 1ER ARRONDISSEMENT,0206,751010206,LES HALLES 6,A,,1,651766.5338687,6862937.5748610
12,75101,PARIS 1ER ARRONDISSEMENT,0301,751010301,PALAIS ROYAL 1,H,,21,651276.2778211,6862969.6601072
13,75101,PARIS 1ER ARRONDISSEMENT,0302,751010302,PALAIS ROYAL 2,A,,1,651550.7025356,6862957.9643108
14,75101,PARIS 1ER ARRONDISSEMENT,0303,751010303,PALAIS ROYAL 3,A,,3,651263.2550320,6862750.1819014
15,75101,PARIS 1ER ARRONDISSEMENT,0401,751010401,PLACE VENDOME 1,H,,9,650674.4377762,6863094.5398863
16,75101,PARIS 1ER ARRONDISSEMENT,0402,751010402,PLACE VENDOME 2,A,,10,650787.5911802,6863273.4379298
17,75102,PARIS 2E ARRONDISSEMENT,0501,751020501,GAILLON 1,A,,20,651196.7641131,6863392.2610489
18,75102,PARIS 2E ARRONDISSEMENT,0502,751020502,GAILLON 2,A,,8,650936.4721981,6863452.0084039
19,75102,PARIS 2E ARRONDISSEMENT,0503,751020503,GAILLON 3,A,,3,651236.3214751,6863592.4027075
20,75102,PARIS 2E ARRONDISSEMENT,0601,751020601,VIVIENNE 1,H,,11,651503.8693213,6863266.8215713
21,75102,PARIS 2E ARRONDISSEMENT,0602,751020602,VIVIENNE 2,A,,31,651578.4615486,6863572.8639979
22,75102,PARIS 2E ARRONDISSEMENT,0701,751020701,MAIL 1,H,,6,651967.7088625,6863044.7929105
23,75102,PARIS 2E ARRONDISSEMENT,0702,751020702,MAIL 2,H,,7,651849.5167819,6863189.3668188
24,75102,PARIS 2E ARRONDISSEMENT,0703,751020703,MAIL 3,H,,12,651978.3607814,6863408.1531753
25,75102,PARIS 2E ARRONDISSEMENT,0704,751020704,MAIL 4,A,,14,651922.3116599,6863571.1843819
26,75102,PARIS 2E ARRONDISSEMENT,0801,751020801,BONNE NOUVELLE 1,H,,25,652457.3030961,6863144.6688160
27,75102,PARIS 2E ARRONDISSEMENT,0802,751020802,BONNE NOUVELLE 2,H,,1,652173.3406021,6862966.9289115
28,75102,PARIS 2E ARRONDISSEMENT,0803,751020803,BONNE NOUVELLE 3,H,,8,652258.2218958,6863071.6484375
