id,numpoints,X,Y
0,0,602579.3978117,6862906.8220098
1,0,609554.2137293,6865242.2898879
2,5,635588.9313821,6868102.9532321
3,0,629546.8542075,6873312.4434140
4,0,632046.7914850,6874334.9032910
5,0,637490.2427459,6868027.0697453
6,23,621131.9851487,6858193.5136081
7,0,624282.3707921,6856840.9647001
8,3,628232.6524279,6871644.9269905
9,27,624028.1070794,6857834.4587726
10,1,620505.8131105,6829961.9740942
11,0,612804.1138423,6866016.7589095
12,5,629340.6861192,6852693.1733196
13,0,622156.0242306,6831522.5815034
14,0,631800.0000489,6875539.7556886
15,0,631661.9368927,6873883.3581220
16,0,601936.5126282,6844120.8856854
17,0,597445.2924885,6860088.8986726
18,0,635869.8945253,6871472.7373294
19,37,627772.7912038,6875895.5565819
20,0,625486.5361371,6859047.4574658
21,2,636416.0440220,6871033.2946721
22,10,629794.7966924,6854221.8681733
23,0,628239.3804491,6853394.0807090
24,0,621794.6753719,6847930.5214308
25,0,629129.7315284,6853621.8431511
26,17,631007.5307335,6852244.2328001
27,0,633235.6818765,6853424.2611354
28,0,598113.4179425,6847538.1616642
29,16,630737.8543958,6854096.0972959
30,0,613937.8482301,6858582.8057722
31,2,625562.6442763,6858614.2183274
32,0,633327.9276422,6864577.2932821
33,0,634047.0718675,6864978.1597694
34,34,636547.3163929,6866725.0221640
35,14,636104.5871130,6867440.7204961
36,1,636583.7144862,6866120.7028480
37,0,603571.6071268,6868685.3592389
38,0,639909.9599352,6851315.9604734
39,0,636242.3326317,6858597.8817911
40,0,608814.0957173,6858882.9596799
41,0,635648.3048204,6858072.6239707
42,1,626509.3341025,6859221.9461087
43,7,619414.6056237,6859754.5295523
44,4,605270.3815293,6877482.3728042
45,0,626587.6246763,6858746.6989991
46,10,598405.5136242,6884177.3989006
47,1,636790.3008020,6872407.1497363
48,32,598490.5460530,6875413.9024301
49,0,610872.2388359,6868114.6942491
50,0,634068.8962721,6865827.5201411
51,0,634149.2422277,6866240.2211711
52,21,635412.3123268,6878730.7066639
53,3,634563.9609414,6878650.3142292
54,0,619569.1433588,6857529.9250425
55,12,624571.5507109,6849949.4706688
56,0,633666.8592602,6864848.0845081
57,0,634401.2766521,6866210.2291330
58,0,614956.0189149,6872048.2580351
59,2,637937.9911023,6870765.8526261
60,0,593207.1278876,6871584.3563124
61,0,606247.1811080,6868661.3903366
62,22,635612.3871679,6879417.9389989
63,29,634131.5641161,6879113.0492861
64,0,638053.5051273,6870398.3944100
65,4,637652.3630231,6871019.5583879
66,0,637544.2767174,6866626.3281220
67,0,637640.5373475,6867221.5994038
68,7,638325.8697471,6866887.2814767
69,0,592567.4679338,6880649.3761486
70,14,619237.5710391,6873965.6715428
71,0,612446.6844615,6853032.0513849
72,0,615939.8075548,6818303.7874336
73,12,597729.7156829,6880841.5811711
74,0,633870.5293417,6866428.2504985
75,0,632955.4792603,6866517.6599942
76,0,633403.7175233,6866359.3376499
77,3,633428.2624410,6866643.8247054
78,4,638040.0463203,6867191.9121946
79,0,599326.8121711,6866611.7000368
80,0,602368.3570437,6886206.3367553
81,11,638031.5362227,6866294.4290697
82,59,609835.4435064,6875821.8616746
83,0,639676.1589212,6872527.3685051
84,0,593435.0065930,6876342.5676556
85,0,600395.2770181,6862527.7722190
86,29,630699.7561258,6865477.4128392
87,6,633144.8410641,6866877.1566988
88,0,611722.4487557,6861134.9555575
89,0,640912.4419381,6871550.4569862
90,18,624779.5226411,6832958.6020046
91,3,617854.9910975,6861426.7869105
92,0,604797.3155849,6876912.7429729
93,0,636309.6488167,6863298.3046481
94,0,600975.2059099,6874237.4368120
95,0,630219.4990748,6857293.0573023
96,39,618793.5865235,6862622.6369421
97,6,616416.1933964,6862107.2109577
98,42,628242.1627837,6862102.8485888
99,5,627896.9420496,6863785.6189870
100,0,613329.9955746,6860597.7876166
101,0,636627.6886814,6856890.2555907
102,0,605824.2855876,6874956.5827548
103,0,594035.8992496,6885443.5941958
104,0,598699.5648612,6868830.8387201
105,10,606242.4933296,6874921.1953701
106,2,626520.0110779,6853215.2278400
107,1,625212.2567876,6853288.8912108
108,0,620723.8484229,6876096.7581242
109,5,625541.3351839,6853686.6704337
110,0,637412.2671612,6856226.5497717
111,0,615643.8397883,6855154.3181494
112,0,625765.5984863,6854152.7595769
113,0,598351.7540140,6854653.3472674
114,0,631718.2419221,6866482.7675203
115,0,633413.8517534,6866085.9531308
116,0,633435.5817638,6865745.4605042
117,4,632247.8745841,6866173.9773377
118,5,638443.5498111,6867454.8818406
119,5,638389.0571477,6866178.8287216
120,37,638092.0807445,6865245.9779198
121,27,637974.7507272,6865600.1270729
122,11,614112.0543804,6839914.1477251
123,13,611962.2680258,6840668.7171769
124,0,613410.2881676,6839925.3622366
125,4,613544.4240735,6839315.4050273
126,0,634181.0938659,6872186.7953051
127,2,631560.0462454,6866277.4852960
128,0,641612.4955908,6872194.7874306
129,0,631969.5031830,6866805.3609096
130,0,640788.7328643,6870313.0554336
131,0,613742.8136378,6837241.9005218
132,13,638670.8178395,6871102.0301071
133,0,640309.1754116,6870710.8869968
134,0,634323.7452619,6859568.2923321
135,25,639223.1910921,6870812.6599064
136,8,616247.0839618,6838785.8061364
137,53,615247.7097259,6840064.2849382
138,0,640628.4867609,6871876.0611030
139,0,640803.8839979,6872084.1614050
140,20,612787.5047493,6876082.7152569
141,1,613025.4632439,6878637.1806746
142,7,628998.6688822,6846588.7030146
143,4,638364.1997963,6871559.1876765
144,24,620912.2306012,6872305.3479120
145,0,629391.1353482,6844438.7704409
146,0,619361.3027786,6835741.3356740
147,0,629960.3523010,6848009.7021576
148,0,629903.4247875,6857316.1263447
149,13,628911.3752209,6866244.6030729
150,0,624387.8475656,6877529.6113652
151,0,603612.5713460,6874879.9675463
152,0,623499.7919885,6876234.9874574
153,0,624028.8972740,6875376.2467203
154,4,606432.3448090,6876282.9189988
155,0,637080.1036206,6863476.2642149
156,0,605037.3122376,6875362.4428754
157,3,606586.5539655,6875360.5363546
158,4,629468.2209260,6857909.0538029
159,0,630822.7479003,6858422.5654624
160,0,636095.4496167,6862154.0569207
161,0,605214.2889559,6873540.0971966
162,0,635595.0359218,6857707.5817424
163,0,636227.6130315,6857330.3165056
164,1,638263.6854718,6856366.3392515
165,2,638161.7598442,6856112.5210194
166,0,635642.9798897,6857213.6887530
167,0,637566.7996797,6857318.0425448
168,0,636156.2879118,6856352.0976460
169,0,636152.8499534,6856773.1468983
170,0,626307.5149752,6854720.3945578
171,31,625064.1614407,6852768.5004982
172,7,636343.8540656,6855203.4793991
173,0,625973.6616939,6851841.0986672
174,1,636984.3494174,6856072.2008936
175,1,637622.3838046,6856484.1835999
176,0,625172.0350504,6853947.8749641
177,1,625907.3141851,6853249.0042793
178,6,630454.5352913,6870656.0737479
179,8,630039.5898242,6871592.2550927
180,0,632548.6073976,6860029.4222052
181,7,630241.9042597,6870027.2514751
182,0,631206.5999468,6875724.4648179
183,0,631174.4784810,6876356.3078290
184,7,629963.1054458,6870179.6384810
185,0,627011.1069403,6868073.3637696
186,0,610716.6525510,6879370.4837618
187,0,608794.9694081,6848470.8984607
188,2,639441.7249859,6869658.9723694
189,1,639799.5401628,6870457.9469149
190,10,625333.6421676,6861424.6031884
191,19,619800.6635031,6855092.0174311
192,0,634704.4349111,6861711.3510153
193,1,635460.1483889,6863563.4232463
194,2,628763.6092832,6875381.2966869
195,0,629125.9876499,6874432.5732328
196,25,629118.8688549,6876346.4190944
