id,numpoints,X,Y
0,3,655646.6642872,6863750.7107697
1,3,651477.6576918,6859429.5975525
2,3,655036.1169584,6863971.6461795
3,4,655127.5037685,6864083.1972115
4,3,652257.7439497,6866892.5364307
5,3,649970.4169264,6860213.8392984
6,3,654414.7863806,6865134.3511609
7,4,651707.7693640,6862561.9176596
8,3,648819.3679109,6864510.9808696
9,4,649727.2144775,6860534.3332695
10,11,648928.4361939,6862669.2071371
11,10,648892.5720789,6862446.9324310
12,4,650040.0832929,6864663.3641473
13,4,655151.1016060,6863669.4078555
14,6,654681.1496870,6865207.2409129
15,3,650495.5385109,6861884.9412143
16,3,651118.6357768,6865223.4496131
17,9,650963.1505548,6859017.1642608
18,9,649997.2934713,6860223.7965523
19,3,648899.2813366,6865797.7743697
20,3,651019.2754885,6860560.1121253
21,3,654530.5191003,6861501.1666954
22,3,655162.1074736,6863976.9860971
23,6,654464.9442718,6861509.2579729
24,7,654502.3771998,6861384.7449508
25,5,652490.8514170,6859800.2039799
26,9,646161.7598201,6860938.2784398
27,5,652595.7081489,6859866.8133348
28,4,653678.4865008,6859535.7881163
29,16,653733.1132721,6865542.6791318
30,5,646252.8309114,6860553.6651534
31,18,646159.8436824,6860528.2643924
32,3,651528.8408862,6865585.4032665
33,4,651343.0152130,6865191.5773910
34,11,650136.3050937,6866075.4070493
35,4,647894.7713724,6860009.7706776
36,3,647615.3990031,6860715.6319989
37,6,651358.0046097,6865264.3067580
38,3,648617.1075440,6859190.2419827
39,11,655194.3927183,6863297.5266212
40,3,655924.5227105,6864483.4110123
41,6,655887.5837603,6864231.9096763
42,3,651642.0289287,6865136.3500947
43,3,647653.2505206,6864878.0172281
44,8,647702.3222912,6864863.3610292
45,5,654308.0787202,6864296.3067964
46,3,655579.9878063,6862178.6452857
47,3,648573.9686316,6865757.8109435
48,9,646035.4615457,6860221.2721545
49,8,645930.7825779,6860121.2575597
50,10,654754.1863415,6861836.9481179
51,5,655143.6716562,6861090.2456738
52,8,648006.0781145,6864772.4484127
53,4,651207.6868861,6865367.6196427
54,6,655925.2270763,6862705.6737069
55,9,656869.0240511,6861506.4150695
56,4,648019.2368282,6865366.6919048
57,4,655271.3587551,6863154.4592386
58,3,654884.5678298,6862335.9697810
59,4,651649.9611478,6862680.1193778
60,4,654312.6729434,6865975.8958276
61,4,650199.2813716,6862261.0027658
62,3,653206.9671061,6859596.9132368
63,4,653139.7339352,6859550.4667873
64,4,645681.6053716,6860350.3513411
65,8,645738.5477373,6860330.8793813
66,3,652801.4230973,6858968.1366981
67,4,654627.8581050,6863452.2224832
68,3,654619.0342241,6865307.8567498
69,4,651485.4209189,6865808.3746533
70,3,656527.4543271,6860102.1241234
