id,numpoints,X,Y
0,4,649806.7396225,6859799.2865688
1,1,649754.3878304,6859671.3442656
2,6,649802.6488938,6859630.3841756
3,6,650146.6145367,6862159.4838518
4,8,650808.3139138,6859441.6345308
5,1,649321.0332118,6863500.5922726
6,1,651228.1109646,6863462.9769847
7,1,649510.0344690,6864088.0419444
8,4,649575.9002672,6863998.0406666
9,1,651169.7843954,6863486.1319019
10,2,649325.9123878,6863886.8178135
11,2,651195.7290221,6863181.9598380
12,2,651073.4826143,6863315.7756770
13,2,651081.0940973,6862853.7999077
14,3,654741.1873704,6864186.6022682
15,1,654812.9402186,6864034.7697306
16,2,649272.8976747,6862138.1428629
17,1,650965.2278101,6863394.4080703
18,1,649379.4905474,6862641.2794814
19,2,651329.9885513,6863144.4955743
20,3,648427.4085269,6860277.2528206
21,1,648393.5582598,6859859.9649974
22,2,651269.4831891,6863258.5281736
23,1,648412.3459290,6860088.4357617
24,2,651483.6608166,6861661.9669613
25,2,650087.9449447,6862558.3497002
26,6,651442.8008482,6861650.1978003
27,1,651701.9304803,6857987.5207286
28,4,651788.4403209,6857997.1404901
29,1,648417.0256387,6860191.0771233
30,1,648552.3359966,6861653.9921072
31,1,648463.6254910,6861673.7185051
32,1,650937.5659581,6860077.9329632
33,3,648535.4616406,6859867.7642390
34,1,648443.1615363,6859914.9865425
35,1,649472.8855552,6863529.8998624
36,2,651078.3701855,6865463.1862235
37,1,648297.2766862,6860406.8175403
38,3,648393.4784023,6861717.7508287
39,4,650979.6142501,6860066.3279212
40,2,651203.2355081,6864625.8339553
41,1,651120.1526769,6864479.2623545
42,1,650045.9630327,6864065.1127570
43,4,649950.3563083,6864071.6389292
44,1,648979.6556204,6864134.9891295
45,3,650994.7059150,6861199.9702526
46,1,648388.1150020,6863445.1370362
47,1,650254.9449862,6858310.5852712
48,3,653564.4814541,6862367.1560007
49,3,650097.2727947,6859742.7575809
50,2,650155.1406805,6859785.7011566
51,1,653568.8449307,6861623.9063924
52,1,648128.1010386,6859956.2397585
53,1,646776.7875691,6861121.6006484
54,1,656854.0432160,6861130.9781889
55,6,648258.7037842,6859014.9483197
56,5,656897.0445478,6861075.8581281
57,1,646890.6127537,6860504.3194626
58,3,647843.8849240,6864015.3311136
59,4,645830.4127203,6860006.6166033
60,3,656819.4933995,6861912.8651431
61,1,647954.5136659,6864023.1406309
62,1,647091.3690646,6860552.7791980
63,3,656298.3688077,6863917.3012237
64,1,647031.5355641,6860518.8673761
