id,identifiant,numero,adresse,postal,commune,source,geom,date,X,Y,labels
0,784400370K-53,53,Rue Jean Jaurès,78130,Les Mureaux,OSM,619980.9614017355,6877201.384963885,01010000206A08000029D93CEC99EB2241903FA358043C5A41,2020-03-19,0
1,782420660L-16D,16D,Rue Victor Hugo,78330,Fontenay-le-Fleury,OSM,629608.5484307358,6857042.919602132,01010000206A080000D5E9CB18D1362341E7C2DABA54285A41,2020-03-19,3
2,783271350S-68,68,Avenue de Paris,78820,Juziers,OSM,616019.6091585965,6877406.3013913985,01010000206A080000B4A2E337A7CC224126FF4993373C5A41,2020-03-19,1
3,786810012Y-36,36,Rue du Centre,78770,Villiers-le-Mahieu,OSM,609852.7141744847,6862872.9379371395,01010000206A0800002F47A86D799C22417F29073C062E5A41,2020-03-19,2
4,780030075P-17,17,Chemin des Charbonniers,78660,Ablis,OSM,615091.9542446977,6827046.317534588,01010000206A080000D2C292E867C52241987C5294090B5A41,2020-03-19,-1
5,780730180Z-21,21,Rue du Docteur Roux,78390,Bois-d'Arcy,OSM,629242.5788017361,6856182.8074949235,01010000206A0800007FB35828F533234130FFADB37D275A41,2020-03-19,3
6,785010207T-9,9,Allée des Châtaigniers,78440,Porcheville,OSM,610188.9552911044,6875412.81447657,01010000206A08000067EA1BE9199F224156622034453A5A41,2020-03-19,4
7,784180250A-45,45,Avenue Henri Barbusse,78360,Montesson,OSM,637103.1881652479,6870225.174765432,01010000206A080000043257605E7123415A5B2F4B34355A41,2020-03-19,5
8,783112110M-30,30,Rue de Verdun,78800,Houilles,OSM,640200.7009843385,6869501.838646352,01010000206A080000526BE76691892341C061AC757F345A41,2020-03-19,6
9,781721700W-11,11,Rue du Maréchal Joffre,78700,Conflans-Sainte-Honorine,OSM,633270.7818177766,6877291.100033389,01010000206A0800006C6B4A906D53234172F266C61A3C5A41,2020-03-19,7
10,781240849E-2,2,Impasse du Progrès,78420,Carrières-sur-Seine,C+O,641193.5257414966,6868827.978749126,01010000206A0800004CFD2D0D5391234160D3A3FED6335A41,2020-03-19,6
11,786210333H-9001,9001,Square H Wallon Gpe Scolai 2,78190,Trappes,CAD,625441.350160514,6853246.002869208,01010000206A080000283D48B34216234155022F809F245A41,2020-03-19,8
12,783581380P-76B,76B,Rue du Maréchal Foch,78600,Maisons-Laffitte,OSM,636641.3114429387,6871581.634171804,01010000206A080000E972759FC26D23415645966887365A41,2020-03-19,9
13,783640100X-7,7,Rue des Champs,78770,Marcq,OSM,613136.086982,6863328.657826207,01010000206A0800009BE7882C20B6224117D3192A782E5A41,2020-03-19,-1
14,786550040S-13,13,Route d'Auffargis,78125,Vieille-Église-en-Yvelines,OSM,617523.8091142408,6841342.299968105,01010000206A080000C638449E67D822416CAD3293FF185A41,2020-03-19,-1
15,782550990N-16,16,Rue du Terrier Rouge,78840,Freneuse,C+O,597232.9582359164,6882731.2072081715,01010000206A080000E6E59DEAE139224110E642CD6A415A41,2020-03-19,10
16,785710720W-10,10,Chemin du Trou à Sable,78860,Saint-Nom-la-Bretèche,OSM,627846.17585731,6862429.046148991,01010000206A08000026F8095A0C292341E61AF442972D5A41,2020-03-19,11
17,781650320B-18,18,Avenue des Frères Lumière,78340,Les Clayes-sous-Bois,OSM,626206.3173465276,6859062.2479999615,01010000206A0800007B3E7BA23C1C23413B3BDF8F4D2A5A41,2020-03-19,12
18,782170720K-75,75,Boulevard de Mantes,78680,Épône,OSM,614828.5008468456,6875028.395972008,01010000206A0800006CFF6E0059C32241FA9A5719E5395A41,2020-03-19,-1
19,783620480U-29,29,Route de Houdan,78711,Mantes-la-Ville,C+O,605992.3894089652,6876303.252972234,01010000206A080000A59C60C7507E224174B230D0233B5A41,2020-03-19,-1
20,785760450F-28B,28BIS,Rue du Professeur Mariller,78690,Saint-Rémy-l'Honoré,C+O,617769.5181182438,6851101.583747224,01010000206A08000061CB460953DA2241511D5C6587225A41,2020-03-19,-1
21,782670800E-19,19,Impasse des Haies,78440,Gargenville,OSM,612582.6555251718,6876905.062852891,01010000206A080000CDFEA04FCDB1224122C80544BA3B5A41,2020-03-19,44
22,783830132Z-20,20,Rue du Bois d'Acacias,78310,Maurepas,OSM,619451.8797907503,6853494.077404703,01010000206A080000E8EE73C277E72241DB32F484DD245A41,2020-03-19,-1
23,781460900P-4,4,Rue Henri Vercken,78400,Chatou,CAD,638261.3006608734,6866905.288071251,01010000206A080000D538F0996A7A234166C26F52F6315A41,2020-03-19,13
24,781380085N-11,11,Rue des Chariots,78570,Chanteloup-les-Vignes,OSM,629461.0274277888,6876199.27287159,01010000206A080000E0030B0EAA35234167BA76D1093B5A41,2020-03-19,14
25,780620402N-14,14,Rue Moreau,78650,Beynes,CAD,617401.326905077,6862061.78702276,01010000206A0800002D1A60A772D72241B6945E723B2D5A41,2020-03-19,-1
26,784150030Z-9,9,Rue de l'Ormoir,78124,Montainville,OSM,616415.1226631254,6865383.583531382,01010000206A08000080B3CD3EBECF2241029458E579305A41,2020-03-19,-1
27,783970397B-33,33,Rue de la Lambruche,78320,Le Mesnil-Saint-Denis,OSM,622986.1788316823,6850121.789955205,01010000206A08000086D38F5B1403234147A08E7292215A41,2020-03-19,15
28,783970380H-43,43,Avenue Jean d'Ayen,78320,Le Mesnil-Saint-Denis,OSM,622379.2953457417,6849615.93407449,01010000206A0800009B8E379756FE22415FE0C7FB13215A41,2020-03-19,15
29,786720142D-25,25,Allée du Coteau,78670,Villennes-sur-Seine,OSM,625951.1525252057,6871682.59145064,01010000206A080000A5C8174E3E1A2341C953DAA5A0365A41,2020-03-19,-1
30,781720090W-93,93,Rue des Anglais,78700,Conflans-Sainte-Honorine,OSM,634032.5728366572,6879288.820705823,01010000206A080000A9D84A2561592341B77186340E3E5A41,2020-03-19,7
31,784020210B-16,16,Chemin de l'Épine,78970,Mézières-sur-Seine,OSM,611593.4534761307,6872841.363611376,01010000206A080000FE052EE812AA2241A6684557C2375A41,2020-03-19,-1
32,785710460N-16,16,Rue du Moulin à Vent,78860,Saint-Nom-la-Bretèche,OSM,628053.8791688633,6862409.003956066,01010000206A080000D76B22C2AB2A2341F2D04040922D5A41,2020-03-19,11
33,783100440B-13,13,Rue du Mont Roti,78550,Houdan,OSM,597163.5534448796,6855213.472366406,01010000206A08000094205D1B573922414E403B5E8B265A41,2020-03-19,-1
34,786430002C-16,16,Rue des Acacias,78540,Vernouillet,OSM,624941.9060996526,6875293.504558785,01010000206A0800002E4BECCF5B122341EEB04A60273A5A41,2020-03-19,-1
35,785750340R-12,12,Rue Lamartine,78470,Saint-Rémy-lès-Chevreuse,OSM,631467.7350697446,6845829.386044926,01010000206A080000C30F5B7857452341C7F5B458611D5A41,2020-03-19,73
36,784430200M-3,3,Rue de la Porte de Vicq,78640,Neauphle-le-Vieux,C+O,616402.3782087431,6857775.065536869,01010000206A0800008D93A4C1A4CF22418DC131C40B295A41,2020-03-19,16
37,785370835U-50,50,Rue des Paradis,78730,Saint-Arnoult-en-Yvelines,OSM,621176.6119794432,6830672.262926197,01010000206A0800009D5E5539F1F4224166C8D310940E5A41,2020-03-19,-1
38,784810180A-33,33,Allée de la Capitainerie,78230,Le Pecq,C+O,634328.4733289846,6867387.835603758,01010000206A0800003A2D58F2B05B23412F887AF56E325A41,2020-03-19,17
39,780030350N-4,4,Rue du Vieux Chemin de Paris,78660,Ablis,OSM,614223.5068782478,6824753.9097790485,01010000206A080000B38B85039FBE2241E7D1397ACC085A41,2020-03-19,18
40,780570820P-8,8,Rue de la Nourrée,78270,Bennecourt,C+O,595449.8677339298,6883350.752623539,01010000206A080000249F47BCF32B2241ECFB2AB005425A41,2020-03-19,-1
41,786861180W-14,14,Rue Sainte-Geneviève,78220,Viroflay,OSM,638614.537432528,6856188.788708192,01010000206A080000375B2A132D7D2341ED317A327F275A41,2020-03-19,19
42,783890280J-11B,11BIS,Rue Léopold Bellan,78490,Méré,C+O,613380.3980772162,6854718.895887291,01010000206A080000E2C6D0CB08B82241A63756B90F265A41,2020-03-19,-1
43,783500610M-10,10,Rue du Professeur Tuffier,78430,Louveciennes,OSM,634932.1824115394,6862621.128598068,01010000206A080000980B655D6860234164F33A48C72D5A41,2020-03-19,-1
