labels,Nombre
0,622
1,138
2,684
3,194
4,48
5,68
6,607
7,297
8,13
9,46
10,241
11,72
12,208
13,71
14,293
15,134
16,103
17,80
18,154
19,51
20,36
21,109
22,123
23,29
24,138
25,31
26,88
27,126
28,32
29,39
30,165
31,162
32,71
33,65
34,19
35,10
36,14
37,110
38,61
39,73
40,15
41,36
42,28
43,63
44,23
45,43
46,75
47,188
48,48
49,13
50,74
51,41
52,31
53,74
54,226
55,20
56,12
57,15
58,30
59,39
60,34
61,29
62,15
63,39
64,11
65,14
66,30
67,18
68,16
69,10
70,16
71,44
72,27
73,14
74,10
75,9
76,19
77,10
78,12
79,14
80,13
81,18
82,10
83,13
84,14
85,20
86,9
87,9
88,16
89,18
90,8
91,11
92,10
93,15
94,12
95,19
96,16
